"sample_size","Variables","Population_Parameter_Values","Sample_Statistic_Values","Absolute_Difference"
121,"Proportion Male:",0.435,0.446,0.011
121,"Mean Age:",19.508,19.421,0.087
121,"Mean Weight:",162.157,162.155,0.002
121,"Mean Height:",67.187,67.735,0.548
121,"Mean Number of Classes:",3.481,3.496,0.015
122,"Proportion Male:",0.435,0.443,0.008
122,"Mean Age:",19.508,19.41,0.098
122,"Mean Weight:",162.157,161.961,0.196
122,"Mean Height:",67.187,67.745,0.558
122,"Mean Number of Classes:",3.481,3.5,0.019
123,"Proportion Male:",0.435,0.447,0.012
123,"Mean Age:",19.508,19.415,0.093
123,"Mean Weight:",162.157,162.241,0.084
123,"Mean Height:",67.187,67.827,0.64
123,"Mean Number of Classes:",3.481,3.488,0.007
124,"Proportion Male:",0.435,0.452,0.017
124,"Mean Age:",19.508,19.403,0.105
124,"Mean Weight:",162.157,162.178,0.021
124,"Mean Height:",67.187,67.821,0.634
124,"Mean Number of Classes:",3.481,3.484,0.003
125,"Proportion Male:",0.435,0.448,0.013
125,"Mean Age:",19.508,19.4,0.108
125,"Mean Weight:",162.157,162.057,0.1
125,"Mean Height:",67.187,67.79,0.603
125,"Mean Number of Classes:",3.481,3.48,0.001
126,"Proportion Male:",0.435,0.452,0.017
126,"Mean Age:",19.508,19.413,0.095
126,"Mean Weight:",162.157,162.208,0.051
126,"Mean Height:",67.187,67.761,0.574
126,"Mean Number of Classes:",3.481,3.468,0.013
127,"Proportion Male:",0.435,0.457,0.022
127,"Mean Age:",19.508,19.409,0.099
127,"Mean Weight:",162.157,162.569,0.412
127,"Mean Height:",67.187,67.79,0.603
127,"Mean Number of Classes:",3.481,3.457,0.024
128,"Proportion Male:",0.435,0.461,0.026
128,"Mean Age:",19.508,19.398,0.11
128,"Mean Weight:",162.157,163.109,0.952
128,"Mean Height:",67.187,67.797,0.61
128,"Mean Number of Classes:",3.481,3.461,0.02
129,"Proportion Male:",0.435,0.465,0.03
129,"Mean Age:",19.508,19.419,0.089
129,"Mean Weight:",162.157,163.357,1.2
129,"Mean Height:",67.187,67.811,0.624
129,"Mean Number of Classes:",3.481,3.473,0.008
130,"Proportion Male:",0.435,0.469,0.034
130,"Mean Age:",19.508,19.415,0.093
130,"Mean Weight:",162.157,163.321,1.164
130,"Mean Height:",67.187,67.802,0.615
130,"Mean Number of Classes:",3.481,3.462,0.019
131,"Proportion Male:",0.435,0.466,0.031
131,"Mean Age:",19.508,19.435,0.073
131,"Mean Weight:",162.157,163.201,1.044
131,"Mean Height:",67.187,67.825,0.638
131,"Mean Number of Classes:",3.481,3.466,0.015
132,"Proportion Male:",0.435,0.462,0.027
132,"Mean Age:",19.508,19.424,0.084
132,"Mean Weight:",162.157,163.223,1.066
132,"Mean Height:",67.187,67.805,0.618
132,"Mean Number of Classes:",3.481,3.477,0.004
133,"Proportion Male:",0.435,0.459,0.024
133,"Mean Age:",19.508,19.444,0.064
133,"Mean Weight:",162.157,162.979,0.822
133,"Mean Height:",67.187,67.776,0.589
133,"Mean Number of Classes:",3.481,3.481,0
134,"Proportion Male:",0.435,0.463,0.028
134,"Mean Age:",19.508,19.455,0.053
134,"Mean Weight:",162.157,162.687,0.53
134,"Mean Height:",67.187,67.805,0.618
134,"Mean Number of Classes:",3.481,3.5,0.019
135,"Proportion Male:",0.435,0.467,0.032
135,"Mean Age:",19.508,19.474,0.034
135,"Mean Weight:",162.157,163.08,0.923
135,"Mean Height:",67.187,67.776,0.589
135,"Mean Number of Classes:",3.481,3.511,0.03
136,"Proportion Male:",0.435,0.463,0.028
136,"Mean Age:",19.508,19.456,0.052
136,"Mean Weight:",162.157,162.91,0.753
136,"Mean Height:",67.187,67.709,0.522
136,"Mean Number of Classes:",3.481,3.5,0.019
137,"Proportion Male:",0.435,0.46,0.025
137,"Mean Age:",19.508,19.46,0.048
137,"Mean Weight:",162.157,162.544,0.387
137,"Mean Height:",67.187,67.706,0.519
137,"Mean Number of Classes:",3.481,3.496,0.015
138,"Proportion Male:",0.435,0.464,0.029
138,"Mean Age:",19.508,19.449,0.059
138,"Mean Weight:",162.157,162.283,0.126
138,"Mean Height:",67.187,67.699,0.512
138,"Mean Number of Classes:",3.481,3.507,0.026
139,"Proportion Male:",0.435,0.46,0.025
139,"Mean Age:",19.508,19.446,0.062
139,"Mean Weight:",162.157,161.986,0.171
139,"Mean Height:",67.187,67.683,0.496
139,"Mean Number of Classes:",3.481,3.511,0.03
140,"Proportion Male:",0.435,0.457,0.022
140,"Mean Age:",19.508,19.457,0.051
140,"Mean Weight:",162.157,161.557,0.6
140,"Mean Height:",67.187,67.648,0.461
140,"Mean Number of Classes:",3.481,3.514,0.033
141,"Proportion Male:",0.435,0.454,0.019
141,"Mean Age:",19.508,19.447,0.061
141,"Mean Weight:",162.157,161.389,0.768
141,"Mean Height:",67.187,67.604,0.417
141,"Mean Number of Classes:",3.481,3.539,0.058
142,"Proportion Male:",0.435,0.451,0.016
142,"Mean Age:",19.508,19.451,0.057
142,"Mean Weight:",162.157,161.484,0.673
142,"Mean Height:",67.187,67.545,0.358
142,"Mean Number of Classes:",3.481,3.528,0.047
143,"Proportion Male:",0.435,0.455,0.02
143,"Mean Age:",19.508,19.448,0.06
143,"Mean Weight:",162.157,161.915,0.242
143,"Mean Height:",67.187,67.533,0.346
143,"Mean Number of Classes:",3.481,3.517,0.036
144,"Proportion Male:",0.435,0.451,0.016
144,"Mean Age:",19.508,19.438,0.07
144,"Mean Weight:",162.157,161.488,0.669
144,"Mean Height:",67.187,67.546,0.359
144,"Mean Number of Classes:",3.481,3.521,0.04
145,"Proportion Male:",0.435,0.455,0.02
145,"Mean Age:",19.508,19.434,0.074
145,"Mean Weight:",162.157,161.852,0.305
145,"Mean Height:",67.187,67.59,0.403
145,"Mean Number of Classes:",3.481,3.538,0.057
146,"Proportion Male:",0.435,0.459,0.024
146,"Mean Age:",19.508,19.452,0.056
146,"Mean Weight:",162.157,161.708,0.449
146,"Mean Height:",67.187,67.582,0.395
146,"Mean Number of Classes:",3.481,3.527,0.046
147,"Proportion Male:",0.435,0.456,0.021
147,"Mean Age:",19.508,19.463,0.045
147,"Mean Weight:",162.157,161.403,0.754
147,"Mean Height:",67.187,67.514,0.327
147,"Mean Number of Classes:",3.481,3.517,0.036
148,"Proportion Male:",0.435,0.459,0.024
148,"Mean Age:",19.508,19.48,0.028
148,"Mean Weight:",162.157,160.998,1.159
148,"Mean Height:",67.187,67.471,0.284
148,"Mean Number of Classes:",3.481,3.534,0.053
149,"Proportion Male:",0.435,0.456,0.021
149,"Mean Age:",19.508,19.497,0.011
149,"Mean Weight:",162.157,160.677,1.48
149,"Mean Height:",67.187,67.469,0.282
149,"Mean Number of Classes:",3.481,3.537,0.056
150,"Proportion Male:",0.435,0.453,0.018
150,"Mean Age:",19.508,19.5,0.008
150,"Mean Weight:",162.157,160.577,1.58
150,"Mean Height:",67.187,67.451,0.264
150,"Mean Number of Classes:",3.481,3.533,0.052
151,"Proportion Male:",0.435,0.45,0.015
151,"Mean Age:",19.508,19.503,0.005
151,"Mean Weight:",162.157,160.621,1.536
151,"Mean Height:",67.187,67.396,0.209
151,"Mean Number of Classes:",3.481,3.53,0.049
152,"Proportion Male:",0.435,0.447,0.012
152,"Mean Age:",19.508,19.5,0.008
152,"Mean Weight:",162.157,160.643,1.514
152,"Mean Height:",67.187,67.359,0.172
152,"Mean Number of Classes:",3.481,3.52,0.039
153,"Proportion Male:",0.435,0.451,0.016
153,"Mean Age:",19.508,19.516,0.008
153,"Mean Weight:",162.157,160.987,1.17
153,"Mean Height:",67.187,67.344,0.157
153,"Mean Number of Classes:",3.481,3.516,0.035
154,"Proportion Male:",0.435,0.448,0.013
154,"Mean Age:",19.508,19.5,0.008
154,"Mean Weight:",162.157,160.675,1.482
154,"Mean Height:",67.187,67.338,0.151
154,"Mean Number of Classes:",3.481,3.539,0.058
155,"Proportion Male:",0.435,0.445,0.01
155,"Mean Age:",19.508,19.49,0.018
155,"Mean Weight:",162.157,160.716,1.441
155,"Mean Height:",67.187,67.331,0.144
155,"Mean Number of Classes:",3.481,3.548,0.067
156,"Proportion Male:",0.435,0.449,0.014
156,"Mean Age:",19.508,19.506,0.002
156,"Mean Weight:",162.157,160.558,1.599
156,"Mean Height:",67.187,67.351,0.164
156,"Mean Number of Classes:",3.481,3.545,0.064
157,"Proportion Male:",0.435,0.446,0.011
157,"Mean Age:",19.508,19.49,0.018
157,"Mean Weight:",162.157,160.473,1.684
157,"Mean Height:",67.187,67.309,0.122
157,"Mean Number of Classes:",3.481,3.554,0.073
158,"Proportion Male:",0.435,0.443,0.008
158,"Mean Age:",19.508,19.487,0.021
158,"Mean Weight:",162.157,160.266,1.891
158,"Mean Height:",67.187,67.3,0.113
158,"Mean Number of Classes:",3.481,3.544,0.063
159,"Proportion Male:",0.435,0.44,0.005
159,"Mean Age:",19.508,19.472,0.036
159,"Mean Weight:",162.157,159.912,2.245
159,"Mean Height:",67.187,67.304,0.117
159,"Mean Number of Classes:",3.481,3.535,0.054
160,"Proportion Male:",0.435,0.438,0.003
160,"Mean Age:",19.508,19.481,0.027
160,"Mean Weight:",162.157,159.856,2.301
160,"Mean Height:",67.187,67.287,0.1
160,"Mean Number of Classes:",3.481,3.538,0.057
161,"Proportion Male:",0.435,0.441,0.006
161,"Mean Age:",19.508,19.497,0.011
161,"Mean Weight:",162.157,159.92,2.237
161,"Mean Height:",67.187,67.298,0.111
161,"Mean Number of Classes:",3.481,3.528,0.047
162,"Proportion Male:",0.435,0.444,0.009
162,"Mean Age:",19.508,19.494,0.014
162,"Mean Weight:",162.157,159.88,2.277
162,"Mean Height:",67.187,67.312,0.125
162,"Mean Number of Classes:",3.481,3.543,0.062
163,"Proportion Male:",0.435,0.442,0.007
163,"Mean Age:",19.508,19.509,0.001
163,"Mean Weight:",162.157,159.73,2.427
163,"Mean Height:",67.187,67.247,0.06
163,"Mean Number of Classes:",3.481,3.534,0.053
164,"Proportion Male:",0.435,0.439,0.004
164,"Mean Age:",19.508,19.5,0.008
164,"Mean Weight:",162.157,159.616,2.541
164,"Mean Height:",67.187,67.206,0.019
164,"Mean Number of Classes:",3.481,3.537,0.056
165,"Proportion Male:",0.435,0.436,0.001
165,"Mean Age:",19.508,19.485,0.023
165,"Mean Weight:",162.157,159.783,2.374
165,"Mean Height:",67.187,67.189,0.002
165,"Mean Number of Classes:",3.481,3.545,0.064
166,"Proportion Male:",0.435,0.434,0.001
166,"Mean Age:",19.508,19.494,0.014
166,"Mean Weight:",162.157,159.655,2.502
166,"Mean Height:",67.187,67.198,0.011
166,"Mean Number of Classes:",3.481,3.548,0.067
167,"Proportion Male:",0.435,0.431,0.004
167,"Mean Age:",19.508,19.509,0.001
167,"Mean Weight:",162.157,159.477,2.68
167,"Mean Height:",67.187,67.148,0.039
167,"Mean Number of Classes:",3.481,3.563,0.082
168,"Proportion Male:",0.435,0.435,0
168,"Mean Age:",19.508,19.494,0.014
168,"Mean Weight:",162.157,160.151,2.006
168,"Mean Height:",67.187,67.21,0.023
168,"Mean Number of Classes:",3.481,3.565,0.084
169,"Proportion Male:",0.435,0.438,0.003
169,"Mean Age:",19.508,19.497,0.011
169,"Mean Weight:",162.157,160.054,2.103
169,"Mean Height:",67.187,67.206,0.019
169,"Mean Number of Classes:",3.481,3.574,0.093
170,"Proportion Male:",0.435,0.441,0.006
170,"Mean Age:",19.508,19.482,0.026
170,"Mean Weight:",162.157,160.332,1.825
170,"Mean Height:",67.187,67.213,0.026
170,"Mean Number of Classes:",3.481,3.571,0.09
171,"Proportion Male:",0.435,0.439,0.004
171,"Mean Age:",19.508,19.485,0.023
171,"Mean Weight:",162.157,159.928,2.229
171,"Mean Height:",67.187,67.227,0.04
171,"Mean Number of Classes:",3.481,3.573,0.092
172,"Proportion Male:",0.435,0.436,0.001
172,"Mean Age:",19.508,19.477,0.031
172,"Mean Weight:",162.157,160.048,2.109
172,"Mean Height:",67.187,67.209,0.022
172,"Mean Number of Classes:",3.481,3.576,0.095
173,"Proportion Male:",0.435,0.434,0.001
173,"Mean Age:",19.508,19.491,0.017
173,"Mean Weight:",162.157,160.043,2.114
173,"Mean Height:",67.187,67.206,0.019
173,"Mean Number of Classes:",3.481,3.566,0.085
174,"Proportion Male:",0.435,0.431,0.004
174,"Mean Age:",19.508,19.494,0.014
174,"Mean Weight:",162.157,159.775,2.382
174,"Mean Height:",67.187,67.177,0.01
174,"Mean Number of Classes:",3.481,3.563,0.082
175,"Proportion Male:",0.435,0.429,0.006
175,"Mean Age:",19.508,19.503,0.005
175,"Mean Weight:",162.157,159.73,2.427
175,"Mean Height:",67.187,67.15,0.037
175,"Mean Number of Classes:",3.481,3.56,0.079
176,"Proportion Male:",0.435,0.432,0.003
176,"Mean Age:",19.508,19.511,0.003
176,"Mean Weight:",162.157,159.531,2.626
176,"Mean Height:",67.187,67.191,0.004
176,"Mean Number of Classes:",3.481,3.551,0.07
177,"Proportion Male:",0.435,0.429,0.006
177,"Mean Age:",19.508,19.525,0.017
177,"Mean Weight:",162.157,159.566,2.591
177,"Mean Height:",67.187,67.173,0.014
177,"Mean Number of Classes:",3.481,3.554,0.073
178,"Proportion Male:",0.435,0.433,0.002
178,"Mean Age:",19.508,19.511,0.003
178,"Mean Weight:",162.157,160.152,2.005
178,"Mean Height:",67.187,67.211,0.024
178,"Mean Number of Classes:",3.481,3.556,0.075
179,"Proportion Male:",0.435,0.43,0.005
179,"Mean Age:",19.508,19.497,0.011
179,"Mean Weight:",162.157,160.121,2.036
179,"Mean Height:",67.187,67.206,0.019
179,"Mean Number of Classes:",3.481,3.564,0.083
180,"Proportion Male:",0.435,0.433,0.002
180,"Mean Age:",19.508,19.511,0.003
180,"Mean Weight:",162.157,159.934,2.223
180,"Mean Height:",67.187,67.203,0.016
180,"Mean Number of Classes:",3.481,3.556,0.075
181,"Proportion Male:",0.435,0.436,0.001
181,"Mean Age:",19.508,19.508,0
181,"Mean Weight:",162.157,160.291,1.866
181,"Mean Height:",67.187,67.24,0.053
181,"Mean Number of Classes:",3.481,3.558,0.077
182,"Proportion Male:",0.435,0.434,0.001
182,"Mean Age:",19.508,19.495,0.013
182,"Mean Weight:",162.157,160.246,1.911
182,"Mean Height:",67.187,67.234,0.047
182,"Mean Number of Classes:",3.481,3.56,0.079
183,"Proportion Male:",0.435,0.437,0.002
183,"Mean Age:",19.508,19.497,0.011
183,"Mean Weight:",162.157,160.21,1.947
183,"Mean Height:",67.187,67.295,0.108
183,"Mean Number of Classes:",3.481,3.552,0.071
184,"Proportion Male:",0.435,0.435,0
184,"Mean Age:",19.508,19.5,0.008
184,"Mean Weight:",162.157,159.963,2.194
184,"Mean Height:",67.187,67.292,0.105
184,"Mean Number of Classes:",3.481,3.543,0.062
185,"Proportion Male:",0.435,0.438,0.003
185,"Mean Age:",19.508,19.497,0.011
185,"Mean Weight:",162.157,160.071,2.086
185,"Mean Height:",67.187,67.339,0.152
185,"Mean Number of Classes:",3.481,3.557,0.076
186,"Proportion Male:",0.435,0.441,0.006
186,"Mean Age:",19.508,19.5,0.008
186,"Mean Weight:",162.157,160.283,1.874
186,"Mean Height:",67.187,67.37,0.183
186,"Mean Number of Classes:",3.481,3.554,0.073
187,"Proportion Male:",0.435,0.439,0.004
187,"Mean Age:",19.508,19.508,0
187,"Mean Weight:",162.157,160.284,1.873
187,"Mean Height:",67.187,67.35,0.163
187,"Mean Number of Classes:",3.481,3.556,0.075
188,"Proportion Male:",0.435,0.436,0.001
188,"Mean Age:",19.508,19.516,0.008
188,"Mean Weight:",162.157,160.313,1.844
188,"Mean Height:",67.187,67.352,0.165
188,"Mean Number of Classes:",3.481,3.548,0.067
189,"Proportion Male:",0.435,0.439,0.004
189,"Mean Age:",19.508,19.529,0.021
189,"Mean Weight:",162.157,160.663,1.494
189,"Mean Height:",67.187,67.345,0.158
189,"Mean Number of Classes:",3.481,3.545,0.064
190,"Proportion Male:",0.435,0.437,0.002
190,"Mean Age:",19.508,19.516,0.008
190,"Mean Weight:",162.157,160.566,1.591
190,"Mean Height:",67.187,67.328,0.141
190,"Mean Number of Classes:",3.481,3.553,0.072
191,"Proportion Male:",0.435,0.435,0
191,"Mean Age:",19.508,19.513,0.005
191,"Mean Weight:",162.157,160.282,1.875
191,"Mean Height:",67.187,67.337,0.15
191,"Mean Number of Classes:",3.481,3.545,0.064
192,"Proportion Male:",0.435,0.432,0.003
192,"Mean Age:",19.508,19.51,0.002
192,"Mean Weight:",162.157,159.999,2.158
192,"Mean Height:",67.187,67.316,0.129
192,"Mean Number of Classes:",3.481,3.542,0.061
193,"Proportion Male:",0.435,0.435,0
193,"Mean Age:",19.508,19.508,0
193,"Mean Weight:",162.157,160.103,2.054
193,"Mean Height:",67.187,67.343,0.156
193,"Mean Number of Classes:",3.481,3.534,0.053
194,"Proportion Male:",0.435,0.433,0.002
194,"Mean Age:",19.508,19.51,0.002
194,"Mean Weight:",162.157,159.986,2.171
194,"Mean Height:",67.187,67.302,0.115
194,"Mean Number of Classes:",3.481,3.536,0.055
195,"Proportion Male:",0.435,0.431,0.004
195,"Mean Age:",19.508,19.513,0.005
195,"Mean Weight:",162.157,160.076,2.081
195,"Mean Height:",67.187,67.295,0.108
195,"Mean Number of Classes:",3.481,3.528,0.047
196,"Proportion Male:",0.435,0.429,0.006
196,"Mean Age:",19.508,19.505,0.003
196,"Mean Weight:",162.157,160.199,1.958
196,"Mean Height:",67.187,67.275,0.088
196,"Mean Number of Classes:",3.481,3.52,0.039
197,"Proportion Male:",0.435,0.426,0.009
197,"Mean Age:",19.508,19.518,0.01
197,"Mean Weight:",162.157,160.137,2.02
197,"Mean Height:",67.187,67.258,0.071
197,"Mean Number of Classes:",3.481,3.528,0.047
198,"Proportion Male:",0.435,0.424,0.011
198,"Mean Age:",19.508,19.505,0.003
198,"Mean Weight:",162.157,159.92,2.237
198,"Mean Height:",67.187,67.275,0.088
198,"Mean Number of Classes:",3.481,3.525,0.044
199,"Proportion Male:",0.435,0.427,0.008
199,"Mean Age:",19.508,19.497,0.011
199,"Mean Weight:",162.157,160.217,1.94
199,"Mean Height:",67.187,67.305,0.118
199,"Mean Number of Classes:",3.481,3.523,0.042
200,"Proportion Male:",0.435,0.43,0.005
200,"Mean Age:",19.508,19.495,0.013
200,"Mean Weight:",162.157,160.405,1.752
200,"Mean Height:",67.187,67.332,0.145
200,"Mean Number of Classes:",3.481,3.54,0.059
201,"Proportion Male:",0.435,0.433,0.002
201,"Mean Age:",19.508,19.498,0.01
201,"Mean Weight:",162.157,160.526,1.631
201,"Mean Height:",67.187,67.347,0.16
201,"Mean Number of Classes:",3.481,3.537,0.056
202,"Proportion Male:",0.435,0.431,0.004
202,"Mean Age:",19.508,19.49,0.018
202,"Mean Weight:",162.157,160.554,1.603
202,"Mean Height:",67.187,67.331,0.144
202,"Mean Number of Classes:",3.481,3.535,0.054
203,"Proportion Male:",0.435,0.429,0.006
203,"Mean Age:",19.508,19.478,0.03
203,"Mean Weight:",162.157,160.325,1.832
203,"Mean Height:",67.187,67.31,0.123
203,"Mean Number of Classes:",3.481,3.547,0.066
204,"Proportion Male:",0.435,0.431,0.004
204,"Mean Age:",19.508,19.49,0.018
204,"Mean Weight:",162.157,160.555,1.602
204,"Mean Height:",67.187,67.351,0.164
204,"Mean Number of Classes:",3.481,3.549,0.068
205,"Proportion Male:",0.435,0.429,0.006
205,"Mean Age:",19.508,19.498,0.01
205,"Mean Weight:",162.157,160.229,1.928
205,"Mean Height:",67.187,67.35,0.163
205,"Mean Number of Classes:",3.481,3.551,0.07
206,"Proportion Male:",0.435,0.427,0.008
206,"Mean Age:",19.508,19.505,0.003
206,"Mean Weight:",162.157,160.364,1.793
206,"Mean Height:",67.187,67.311,0.124
206,"Mean Number of Classes:",3.481,3.544,0.063
207,"Proportion Male:",0.435,0.425,0.01
207,"Mean Age:",19.508,19.517,0.009
207,"Mean Weight:",162.157,160.19,1.967
207,"Mean Height:",67.187,67.318,0.131
207,"Mean Number of Classes:",3.481,3.546,0.065
208,"Proportion Male:",0.435,0.428,0.007
208,"Mean Age:",19.508,19.524,0.016
208,"Mean Weight:",162.157,160.078,2.079
208,"Mean Height:",67.187,67.348,0.161
208,"Mean Number of Classes:",3.481,3.543,0.062
209,"Proportion Male:",0.435,0.426,0.009
209,"Mean Age:",19.508,19.526,0.018
209,"Mean Weight:",162.157,159.825,2.332
209,"Mean Height:",67.187,67.359,0.172
209,"Mean Number of Classes:",3.481,3.545,0.064
210,"Proportion Male:",0.435,0.429,0.006
210,"Mean Age:",19.508,19.514,0.006
210,"Mean Weight:",162.157,159.815,2.342
210,"Mean Height:",67.187,67.363,0.176
210,"Mean Number of Classes:",3.481,3.557,0.076
211,"Proportion Male:",0.435,0.427,0.008
211,"Mean Age:",19.508,19.526,0.018
211,"Mean Weight:",162.157,159.629,2.528
211,"Mean Height:",67.187,67.35,0.163
211,"Mean Number of Classes:",3.481,3.559,0.078
212,"Proportion Male:",0.435,0.429,0.006
212,"Mean Age:",19.508,19.528,0.02
212,"Mean Weight:",162.157,159.609,2.548
212,"Mean Height:",67.187,67.357,0.17
212,"Mean Number of Classes:",3.481,3.552,0.071
213,"Proportion Male:",0.435,0.427,0.008
213,"Mean Age:",19.508,19.526,0.018
213,"Mean Weight:",162.157,159.695,2.462
213,"Mean Height:",67.187,67.346,0.159
213,"Mean Number of Classes:",3.481,3.545,0.064
214,"Proportion Male:",0.435,0.425,0.01
214,"Mean Age:",19.508,19.523,0.015
214,"Mean Weight:",162.157,159.566,2.591
214,"Mean Height:",67.187,67.321,0.134
214,"Mean Number of Classes:",3.481,3.542,0.061
215,"Proportion Male:",0.435,0.423,0.012
215,"Mean Age:",19.508,19.512,0.004
215,"Mean Weight:",162.157,159.653,2.504
215,"Mean Height:",67.187,67.306,0.119
215,"Mean Number of Classes:",3.481,3.549,0.068
216,"Proportion Male:",0.435,0.426,0.009
216,"Mean Age:",19.508,19.519,0.011
216,"Mean Weight:",162.157,159.951,2.206
216,"Mean Height:",67.187,67.317,0.13
216,"Mean Number of Classes:",3.481,3.542,0.061
217,"Proportion Male:",0.435,0.429,0.006
217,"Mean Age:",19.508,19.516,0.008
217,"Mean Weight:",162.157,159.756,2.401
217,"Mean Height:",67.187,67.348,0.161
217,"Mean Number of Classes:",3.481,3.548,0.067
218,"Proportion Male:",0.435,0.427,0.008
218,"Mean Age:",19.508,19.505,0.003
218,"Mean Weight:",162.157,159.574,2.583
218,"Mean Height:",67.187,67.376,0.189
218,"Mean Number of Classes:",3.481,3.55,0.069
219,"Proportion Male:",0.435,0.425,0.01
219,"Mean Age:",19.508,19.493,0.015
219,"Mean Weight:",162.157,159.316,2.841
219,"Mean Height:",67.187,67.375,0.188
219,"Mean Number of Classes:",3.481,3.553,0.072
220,"Proportion Male:",0.435,0.423,0.012
220,"Mean Age:",19.508,19.491,0.017
220,"Mean Weight:",162.157,159.205,2.952
220,"Mean Height:",67.187,67.35,0.163
220,"Mean Number of Classes:",3.481,3.545,0.064
221,"Proportion Male:",0.435,0.425,0.01
221,"Mean Age:",19.508,19.502,0.006
221,"Mean Weight:",162.157,158.978,3.179
221,"Mean Height:",67.187,67.39,0.203
221,"Mean Number of Classes:",3.481,3.538,0.057
222,"Proportion Male:",0.435,0.428,0.007
222,"Mean Age:",19.508,19.505,0.003
222,"Mean Weight:",162.157,159.166,2.991
222,"Mean Height:",67.187,67.409,0.222
222,"Mean Number of Classes:",3.481,3.532,0.051
223,"Proportion Male:",0.435,0.426,0.009
223,"Mean Age:",19.508,19.493,0.015
223,"Mean Weight:",162.157,159.109,3.048
223,"Mean Height:",67.187,67.398,0.211
223,"Mean Number of Classes:",3.481,3.538,0.057
224,"Proportion Male:",0.435,0.429,0.006
224,"Mean Age:",19.508,19.504,0.004
224,"Mean Weight:",162.157,159.026,3.131
